年月日,平均気温,最高気温,最低気温,降水量,日照時間,降雪量,平均風速,平均蒸気圧,平均湿度,平均現地気圧
2020/12/6,7.1,14.6,0.4,0,9.2,0,1.5,7.3,75,1020.4
2020/12/7,8.5,15.8,1.9,0,9.1,0,1.8,7.8,71,1016.1
2020/12/8,10.5,17.2,3.4,0,6.6,0,3,6.7,56,1013.7
2020/12/9,8.1,11.8,4.5,0,2.3,0,1.8,6.5,61,1019.6
2020/12/10,7.7,13.5,4.6,0,3.5,0,1.9,7.4,71,1015.5
2020/12/11,8.1,14.7,1.5,0,7.2,0,1.4,7.9,74,1013
2020/12/12,10.5,16.1,6.4,0,4.6,0,2,8.1,65,1004.7
2020/12/13,8.2,16,3,0,6.4,0,2.2,7.1,67,1005.6
2020/12/14,6.6,12.2,1.9,0,3.6,0,3.8,5,54,1004.2
2020/12/15,4,10.9,-1.8,0,8.6,0,3.1,4.1,54,1007.3
2020/12/16,3.4,9.1,-1.4,0,8,0,2.7,3.7,49,1008.4
2020/12/17,2.6,9.3,-3.6,0,9.3,0,3.2,3.5,51,1013.2
2020/12/18,4.4,11.2,-1.9,0,8.9,0,1.9,3.9,48,1013.6
2020/12/19,4.8,11.1,-0.6,0,8.5,0,4.1,4.3,52,1011.9
2020/12/20,2.9,8.8,-1.9,0,8.6,0,3.2,3.9,53,1016.3
2020/12/21,4,11.1,-1.4,0,9.3,0,2.3,3.9,50,1018.1
2020/12/22,4.3,11.9,-2,0,9.3,0,1.8,4.2,53,1018.2
2020/12/23,6.7,15,-1.4,0,9.3,0,2.1,4.8,52,1016.8
2020/12/24,6.2,12.6,0.4,0,4.1,0,1.7,5.5,60,1008.7
2020/12/25,7.3,13,2.1,0,8.4,0,3.6,4.9,50,1004.1
2020/12/26,6,12.7,0.9,0,9.2,0,2.6,4.6,52,1015
2020/12/27,5.9,12.6,-0.5,0,8,0,1.8,5.6,62,1019.1
2020/12/28,9.5,16.1,5.1,0,7.4,0,2.2,6.6,57,1015
2020/12/29,7.7,12.3,1.3,0,6.8,0,1.8,6.5,62,1013.6
2020/12/30,6.1,15.8,0.6,0,4.6,0,4.3,5.8,61,992.2
2020/12/31,2.2,7.1,-1.6,0,9.2,0,3.6,2.7,40,1005.4
